"","date","hour.ending","hour","solarTCR1","solarTCR2","solarTCR3","solarTCR4","solarTCR5","windTCR1","windTCR2","windTCR3","windTCR4","windTCR5"
"2822",2019-04-28,14,2822,14337.5778601382,6233.13251167941,18693.127276883,16075.438856942,10837.0024089318,19398.4940413631,0,1008.33550549987,27207.5090289988,3195.02851736977
"2823",2019-04-28,15,2823,15709.3951148887,6787.72755471036,20356.3545076664,17505.756387959,10425.2387814746,20556.7824961146,0,828.609601489439,22358.0376680903,2393.2925865796
"2824",2019-04-28,16,2824,15064.9392262983,6018.64798278082,18049.8894522241,15522.2767151765,10105.1293531112,20450.8961177255,0,1196.25001576667,32277.9302398727,2182.04405082801
"2825",2019-04-28,17,2825,9156.28373317437,3048.42735682019,9142.21548612938,7861.98712967662,9244.02445144312,20210.4588679163,0,1170.10382266307,31572.4380886392,2061.62496244278
"2826",2019-04-28,18,2826,8785.59485324942,2510.82226667012,7529.94102284065,6475.48720532963,7972.47813426376,21650.8521318149,0,1119.44182263638,30205.4458369185,1508.11182039016
"2827",2019-04-28,19,2827,4143.78277277328,1396.32184703134,4187.56090250624,3601.15663103668,4042.6917684763,24093.9749622702,0,904.921010282515,24417.1175402445,978.979416287791
"2828",2019-04-28,20,2828,1139.20476372752,205.57687257607,616.523816403294,530.189024428034,370.640919689,28004.7516964012,0,741.412280877533,20005.227641157,484.683951135855
"2829",2019-04-28,21,2829,316.412632019608,-8.6429182849571,-25.9200604578311,-22.2903498642193,-17.7061425805313,30372.0166691276,0,419.179288670946,11310.5451698145,199.76847174037
"2830",2019-04-28,22,2830,-12.227066835819,-10.5895215022898,-31.7579119122975,-27.3106989327372,-16.0964932550284,31639.0091651817,0,458.008485927332,12358.2576912715,1655.27932993866
"2831",2019-04-28,23,2831,-12.525287978156,-11.1034247516656,-33.2991046962767,-28.6360710868259,-18.6642671790449,33515.3834937991,0,410.303853062454,11071.0628812933,2598.09078536167
"2832",2019-04-28,24,2832,-12.525287978156,-11.3525899634842,-34.0463496824484,-29.2786757675962,-16.0581682710879,33416.7055533933,0,457.635064143654,12348.181802348,2768.33360752135
"2833",2019-04-29,1,2833,-12.525287978156,-10.994414971495,-32.9721850148266,-28.3549315389889,-17.0354553615717,35509.0144165197,0,345.958611962421,9334.86127116116,2174.44186797108
"2834",2019-04-29,2,2834,-12.525287978156,-11.2902986605295,-33.8595384359054,-29.1180245974036,-14.2952190098229,36394.5172581912,0,374.422020598671,10102.8779116968,2343.8528014343
"2835",2019-04-29,3,2835,-12.525287978156,-11.7419106069507,-35.2139199733417,-30.2827455812997,-17.8019550403826,38232.0815160082,0,576.233155815206,15548.2661317956,1960.73606099301
"2836",2019-04-29,4,2836,-12.525287978156,-10.994414971495,-32.9721850148266,-28.3549315389889,-14.2952190098229,41416.5981669028,0,875.824118263239,23632.0078738565,1864.90248316023
"2837",2019-04-29,5,2837,-12.525287978156,-11.3837356149615,-34.1397553057198,-29.3590013526925,-14.7551188171094,43089.5531634214,0,1095.58617208087,29561.7584686354,2193.42172853813
"2838",2019-04-29,6,2838,-12.525287978156,-10.0600454271753,-30.1700163166827,-25.9451639861003,-14.5443314054364,43632.8344161891,0,1403.85585687635,37879.6746648738,2066.85946208669
"2839",2019-04-29,7,2839,361.145803370165,243.309829340846,729.684728996671,627.503470772185,56.9509261356482,45122.7608002086,0,1593.69415615371,43002.0046963627,2347.05237334378
"2840",2019-04-29,8,2840,2384.87447526937,1816.00950068826,5446.20167608921,4683.54389020914,1339.20907632639,48788.2415583759,0,1580.97781077024,42658.8846931996,2411.90129680514
"2841",2019-04-29,9,2841,6703.71305859449,4150.50066151952,12447.3267627785,10704.2677955161,3953.45204337074,45072.5904701002,0,1515.34559816575,40887.9572515989,2241.92723868586
"2842",2019-04-29,10,2842,9377.56382078846,6407.17441213469,19215.077899724,16524.2982264601,4213.77449678689,47172.9142401004,0,1329.06814232561,35861.7080180593,1590.44320476493
"2843",2019-04-29,11,2843,11659.2537808092,7922.93983258156,23760.8493674763,20433.503476341,4245.77585837724,44642.2148619901,0,1240.72388337812,33477.9506180038,1379.97536455926
"2844",2019-04-29,12,2844,9614.05318666174,9334.1648738448,27993.1048607179,24073.0958998463,4743.98148711234,36903.0207846106,0,1060.39783721535,28612.2858641826,1402.78191313004
